product_name,product_category,product_price,product_description,product_rating,product_stock,product_brand,product_color,product_size,product_discount
Almond Coconut Granola,Food - Breakfast Foods,886.06,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,3,460,Puma,red,M,37.79
Backpack,Accessories,256.96,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,1,254,Puma,red,L,24.59
Chili Con Carne Mix,Food - Spices & Seasonings,903.95,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,5,680,Nike,blue,S,33.99
Frozen Edamame,Food - Frozen Foods,995.8,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,3,254,Puma,green,S,8.7
Watercolor Paint Set,Art Supplies,358.15,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,3,917,Nike,green,XL,28.05
Pocket Blanket,Outdoor,229.05,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,5,813,Adidas,black,XL,33.09
Electric Rice Cooker,Kitchen,738.56,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,3,434,Adidas,blue,XL,49.5
Foam Roller for Muscle Recovery,Fitness,54.12,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,2,481,Puma,black,M,20.82
Rechargeable Electric Screwdriver,Tools,799.47,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,5,469,Puma,blue,XL,22.61
Feta Cheese Crumbles,Food - Dairy,753.92,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,4,344,Puma,blue,L,44.72
Portable Charcoal Grill,Outdoor,398.52,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,2,789,Adidas,blue,L,39.18
Orange Ginger Vinaigrette,Food - Condiments,894.24,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,5,418,Nike,blue,XL,33.05
Crispy Rice Treats,Food - Snacks,217.35,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,3,309,Nike,black,L,16.6
Breathable Face Mask Set,Health,572.58,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,3,124,Adidas,black,XL,6.5
Chili Beans in Sauce,Food - Canned Goods,89.88,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,3,267,Puma,green,L,11.52
Halloween Decoration Set,Home,842.94,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,1,191,Adidas,black,XL,22.47
Pretzel Bites,Food - Snacks,911.12,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,2,264,Adidas,red,S,48.48
Greek Feta Cheese,Food - Dairy,199.34,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,3,473,Nike,green,S,22.66
Colorful Post-It Notes Set,Office,616.9,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,2,240,Nike,red,L,20.1
Fashionable Scarves Set,Clothing,501.78,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,1,987,Puma,green,L,27.57
Elegant Lace Dress,Clothing - Dresses,694.09,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,4,467,Puma,black,L,38.15
Potting Soil,Garden,138.08,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,3,861,Nike,red,L,21.65
Tortilla Chips,Food - Snacks,414.28,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,3,959,Adidas,green,M,6.53
Portable Pet Water Bottle,Pets,99.88,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,3,342,Puma,red,S,47.15
Oven-Baked Potato Chips,Food - Snacks,105.16,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,2,983,Nike,blue,XL,43.28
Matcha Green Tea Powder,Food - Beverages,561.55,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,5,905,Adidas,blue,XL,9.3
Dark Chocolate Tart,Food - Desserts,769.72,est risus auctor sed tristique in tempus sit amet sem fusce,3,268,Adidas,red,L,8.18
Cheddar Cheese Crackers,Food - Snacks,895.22,volutpat in congue etiam justo etiam pretium iaculis justo in,1,367,Puma,black,M,0.47
Pretzel Bites,Food - Snacks,301.85,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,3,81,Adidas,red,L,47.23
Quinoa & Black Bean Salad,Food - Salads,329.05,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,1,964,Puma,green,L,24.73
Sweet Potato Chips,Food - Snacks,996.73,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,3,94,Adidas,black,M,31.54
Aged White Cheddar Popcorn,Food - Snacks,835.63,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,1,1,Puma,red,L,41.15
Multifunctional Baby Bottle Warmer,Baby,684.31,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,3,722,Adidas,green,S,35.72
Greek Yogurt Parfait,Food - Dairy,564.22,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,2,954,Puma,blue,XL,19.86
Fishing Rod,Outdoor,832.49,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,1,532,Puma,green,M,30.11
Shoe Organizer,Home,452.35,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,3,785,Adidas,blue,S,14.5
Sculpting Kit,Art Supplies,507.81,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,3,910,Nike,blue,L,4.06
Cranberry Almond Granola,Food - Breakfast,661.93,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,3,387,Adidas,red,L,8.41
Plant Pot Drip Trays,Garden,815.49,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,2,224,Puma,black,S,15.08
Tomato Sauce,Food - Canned Goods,567.11,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,5,356,Puma,green,XL,2.92
Magnetic Spice Jars,Kitchen,737.86,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,4,782,Puma,blue,XL,49.5
Rustic Italian Bread,Food - Bakery,55.84,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,2,19,Adidas,green,S,40.93
Wooden Kitchen Utensil Set,Kitchen,718.48,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,4,423,Adidas,black,XL,23.97
Coffee Subscription Service,Food,572.21,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,5,178,Nike,red,L,36.45
Sushi Rice,Food - Grains,116.61,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,4,643,Puma,blue,M,48.22
USB-C Hub,Computers,545.96,ante vestibulum ante ipsum primis in faucibus orci luctus et,3,104,Nike,blue,M,45.02
Pineapple Coconut Yogurt,Food - Dairy,997.51,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat,5,625,Nike,green,S,4.79
Grilled Vegetable Medley,Food - Vegetables,709.1,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,3,336,Nike,red,M,18.02
Tabletop Fire Pit,Outdoor,447.76,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,3,461,Puma,blue,L,5.15
Non-Toxic Concrete Sealer,Home Improvement,361.54,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,2,611,Puma,green,M,23.77
Classic Bagels,Food - Bakery,548.66,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,2,182,Puma,blue,L,46.27
Cheddar Cheese Slices,Food - Dairy,897.15,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,3,647,Adidas,green,L,10.94
Silicone Ice Cube Tray,Kitchen,899.17,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,3,259,Nike,blue,XL,44.66
Children's Garden Tool Set,Garden,464.37,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue,1,392,Nike,red,M,20.88
Couscous,Food - Grains,821.34,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,3,528,Nike,black,S,27.1
Casual Cropped Sweater,Clothing - Sweaters,606.78,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,2,140,Puma,red,XL,36.98
Peach Slices (canned),Food - Canned Goods,14.14,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,3,851,Puma,blue,M,18.9
Mesh Laundry Bags Set,Home,83.97,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,5,357,Nike,blue,M,38.49
Herbed Chicken Breast,Food - Meat,488.58,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,3,17,Puma,red,L,31.89
Mango Sticky Rice Dessert,Food - Frozen Desserts,450.9,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,2,123,Nike,blue,M,12.79
Scent Diffuser Oil,Home,351.45,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,1,255,Nike,blue,L,11.65
Spicy Chicken Wings,Food - Meat,791.0,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,4,497,Adidas,blue,M,32.29
Smart Light Bulbs,Smart Home,539.33,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,5,657,Nike,green,L,40.04
Children's Garden Tool Set,Garden,578.63,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,4,49,Adidas,black,L,4.15
LED Disco Ball Light,Home,945.73,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,3,782,Nike,green,S,45.49
Biodegradable Trash Bags,Home,245.41,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,1,633,Puma,black,XL,18.63
Almond Joy Munch Bars,Food - Snacks,61.23,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,3,406,Adidas,blue,L,0.44
Crispy Kale Chips,Food - Snacks,391.42,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,4,973,Nike,blue,L,17.06
Smartphone Tripod with Bluetooth Remote,Photography,105.52,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,3,193,Adidas,black,S,31.12
Puzzle 3D Model Kit,Toys,133.12,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,5,129,Puma,red,L,42.39
High-Speed Blender,Kitchen,386.6,congue eget semper rutrum nulla nunc purus phasellus in felis donec,1,242,Nike,black,S,9.5
Heavy-Duty Utility Tote,Accessories,966.01,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,3,908,Puma,red,L,18.72
Travel Yoga Mat,Fitness,914.58,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,3,783,Nike,red,XL,18.16
Chipotle Black Bean Burger,Food - Meats,209.92,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,2,121,Puma,green,XL,34.25
Portable Water Filter,Outdoor,617.19,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,3,718,Nike,blue,M,39.24
Apple Juice,Food - Beverages,734.49,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,3,147,Adidas,black,XL,31.3
Kettle Chip Variety Pack,Food - Snacks,448.16,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,1,85,Puma,red,M,42.33
Cooking Utensil Set,Kitchen,853.3,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,3,103,Adidas,green,L,21.71
Portable Folding Picnic Table,Outdoor,357.33,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,4,477,Adidas,black,S,13.77
Chili Garlic Sauce,Food - Condiments,393.24,at feugiat non pretium quis lectus suspendisse potenti in eleifend,2,182,Puma,black,M,37.25
Handmade Leather Journal,Books,383.77,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,2,115,Nike,green,S,49.77
Whole Wheat Bread,Food - Bakery,21.55,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,1,192,Adidas,red,XL,38.03
Coconut Lime Rice,Food - Sides,903.46,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,5,588,Adidas,red,L,17.87
Almond Butter Crunch Bar,Food - Snacks,794.58,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,2,710,Adidas,green,S,1.09
Plaid Flannel Shirt,Clothing - Tops,383.21,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,2,555,Puma,green,S,4.29
Wooden Blocks,Toys,597.3,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,5,86,Puma,red,S,3.94
Winter Insulated Jacket,Clothing,390.3,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,5,5,Nike,black,XL,3.28
Reusable Coffee Filter,Kitchen,769.56,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,2,153,Nike,red,L,19.6
Pineapple Teriyaki Chicken Mix,Food - Meat,734.16,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,4,9,Puma,green,S,30.56
Electric Heat Press Machine,Crafts,444.94,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,5,194,Nike,red,XL,40.92
Smartphone Tripod with Remote,Photography,749.49,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,2,963,Puma,black,XL,8.18
Wild Rice & Quinoa Mix,Food - Grains,714.38,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,5,761,Puma,red,L,37.03
Non-Stick Grill Pan,Kitchen,322.6,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,3,8,Puma,black,S,39.43
Lemon Dill Chicken Skewers,Food - Meat,736.11,quisque erat eros viverra eget congue eget semper rutrum nulla,4,303,Puma,green,L,34.56
Sliced Bell Peppers,Food - Fresh Produce,887.49,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,3,235,Puma,green,M,21.88
Almond Butter Cups,Food - Snacks,669.51,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,1,376,Nike,blue,M,40.0
Banana Nut Oatmeal Cups,Food - Breakfast,110.55,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,1,40,Adidas,black,M,48.95
Insulated Wine Tote,Accessories,321.89,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,2,911,Adidas,red,S,27.79
Throw Pillow Covers,Home,578.46,in lectus pellentesque at nulla suspendisse potenti cras in purus,5,62,Nike,green,L,16.75
Maple Pecan Granola,Food - Breakfast,427.39,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,3,913,Adidas,black,L,16.56
Turkey Bacon,Food - Meat,590.9,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,2,911,Nike,blue,S,19.48
Cheddar & Bacon Potato Skins,Food - Frozen,918.45,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,1,948,Puma,green,S,36.91
Reclining Camping Chair,Outdoor,538.94,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,5,746,Puma,red,XL,44.1
Baked Potato Chips,Food - Snacks,606.05,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,2,251,Puma,red,L,5.38
Himalayan Pink Salt,Food - Condiments,723.12,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,3,695,Puma,blue,M,37.52
Maxi Wrap Dress,Clothing - Dresses,145.15,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,4,733,Puma,red,S,6.92
Comfortable Jogger Pants,Clothing - Bottoms,755.37,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,2,746,Puma,red,M,33.04
Bird Feeder,Outdoor,156.39,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,3,828,Adidas,black,XL,24.35
Camping Lantern,Outdoor,640.09,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,2,25,Nike,blue,XL,5.96
Sesame Oil,Food - Oils & Vinegars,730.41,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,2,36,Nike,red,S,23.73
Pet Grooming Brush,Pets,605.66,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,5,428,Puma,black,M,31.31
Luxury Rolling Makeup Case,Beauty,696.35,erat eros viverra eget congue eget semper rutrum nulla nunc,5,673,Adidas,black,M,12.77
Vegetable and Cheese Quesadillas,Food - Frozen,803.74,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,4,97,Adidas,black,S,7.88
Gluten-Free Biscuits,Food - Baking,418.11,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,1,948,Puma,blue,S,5.68
Sweet and Spicy Barbecue Sauce,Food - Condiments,908.33,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,1,310,Puma,green,M,5.5
Recipe Book Stand,Kitchen,321.34,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,1,863,Adidas,green,L,4.67
Gardening Gloves with Claws,Garden,382.54,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2,235,Adidas,red,L,21.06
Salsa Verde,Food - Condiments,339.45,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,1,562,Adidas,blue,M,7.37
Pumpkin Spice Muffins,Food - Bakery,640.94,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,3,76,Nike,red,S,14.02
Fettuccine Alfredo Dinner Kit,Food - Prepared Meals,274.74,metus sapien ut nunc vestibulum ante ipsum primis in faucibus,1,339,Nike,green,XL,39.82
Pumpkin Spice Creamer,Food - Beverages,235.02,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,5,733,Adidas,blue,M,36.14
Protein Bar Variety Pack,Food - Snacks,940.85,lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,4,505,Puma,black,S,6.69
Suede Ankle Booties,Clothing - Footwear,791.02,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,1,409,Puma,red,M,47.88
Screen Cleaning Kit,Electronics,499.32,nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,4,433,Nike,blue,L,21.25
Mediterranean Chickpea Salad,Food - Salads,133.42,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,4,151,Puma,green,L,0.04
Portable Bluetooth Speaker,Audio,819.03,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,5,44,Puma,blue,XL,29.46
Oven-Baked Potato Chips,Food - Snacks,734.16,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,3,978,Nike,blue,M,21.49
Indoor Plants,Garden,654.84,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,4,631,Nike,red,L,31.57
Pet Water Bottle,Pets,393.73,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,1,491,Adidas,green,M,7.92
Crew Neck Sweater,Clothing - Sweaters,310.99,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,2,744,Adidas,black,M,20.62
Coconut Milk Ice Cream,Food - Frozen Desserts,481.78,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,3,71,Adidas,black,M,19.94
Faux Fur Throw Blanket,Home,285.64,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,2,173,Adidas,black,S,1.15
Frozen Berry Medley,Food - Frozen Foods,583.74,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,2,243,Nike,green,S,0.82
Durable Hiking Boots,Footwear,167.57,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,4,79,Adidas,black,XL,9.86
Zesty Garlic Marinade,Food - Condiments,347.48,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,4,324,Adidas,blue,XL,46.45
Roasted Garlic Butter,Food - Condiments,592.8,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,3,667,Puma,green,S,38.94
Coconut Milk Yogurt,Food - Dairy Alternatives,685.6,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,5,209,Nike,blue,M,32.23
Cocktail Shaker Set,Kitchen,977.11,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,1,202,Puma,red,L,24.66
Spicy Avocado Salsa,Food - Condiments,904.79,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,5,110,Puma,blue,M,17.42
Spicy Vegetable Sushi Rolls,Food - Prepared Foods,942.13,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,5,729,Puma,red,XL,0.83
Collapsible Water Bottle,Fitness,274.96,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,2,512,Puma,black,L,38.14
Induction Cooktop,Kitchen,476.97,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,3,407,Nike,blue,S,41.19
Buffalo Style Cauliflower Bites,Food - Frozen Vegetables,617.89,lectus in est risus auctor sed tristique in tempus sit amet sem,5,815,Puma,green,M,11.87
Chili Powder,Food - Spices,660.91,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in,1,728,Puma,blue,M,5.42
Stainless Steel Water Bottle,Fitness,623.69,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,1,330,Nike,blue,M,4.81
Jennifer's Amazing Lip Balm Kit,Beauty,18.97,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,1,625,Puma,blue,L,6.99
Cinnamon Raisin Bread,Food - Bakery,321.7,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,1,556,Adidas,red,M,9.21
Pumpkin Puree,Food - Canned Goods,616.78,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,3,452,Adidas,red,M,46.02
Interactive Robot Toy,Toys,370.03,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,4,225,Adidas,green,S,24.61
Peanut Butter Cookies,Food - Bakery,917.85,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,5,605,Puma,blue,XL,29.55
Maple Cinnamon Almonds,Food - Nuts,437.3,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,1,457,Nike,blue,M,32.82
Granola Clusters,Food - Cereal,274.85,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,4,433,Adidas,blue,XL,3.67
Cocoa Powder,Food - Baking,974.9,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,5,288,Nike,blue,L,8.98
Coconut Macaroons,Food - Confectionery,141.09,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,2,847,Puma,blue,L,6.35
